epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.5497,1.77596,2.59011,1.56562,0.28892,0.30798,0.22316,0.0908,1.95419,2.37358,1.73535,0.000661064,0.000661064,0.000661064
2,168.01,1.83767,2.18247,1.59526,0.32062,0.29278,0.20011,0.0879,2.03016,2.62787,1.8167,0.00128392,0.00128392,0.00128392
3,257.565,1.86581,2.18984,1.62924,0.20185,0.38783,0.12616,0.05234,2.01736,2.86142,1.83588,0.00186277,0.00186277,0.00186277
4,349.87,1.94645,2.19794,1.6634,0.49799,0.26236,0.28231,0.1369,1.95691,2.3137,1.75534,0.001802,0.001802,0.001802
5,435.372,1.87236,2.10127,1.60952,0.33062,0.38023,0.27097,0.1261,1.89574,2.33806,1.67732,0.001736,0.001736,0.001736
6,523.821,1.89697,2.02552,1.67583,0.26475,0.38783,0.22885,0.11171,1.87397,2.54181,1.74299,0.00167,0.00167,0.00167
7,611.595,1.86091,2.05268,1.6094,0.34127,0.39163,0.29532,0.1446,1.9162,2.0834,1.70565,0.001604,0.001604,0.001604
8,698.678,1.85887,1.96243,1.58674,0.45872,0.39163,0.35773,0.17503,1.82641,2.18985,1.62761,0.001538,0.001538,0.001538
9,787.291,1.82645,1.9247,1.55595,0.47922,0.42586,0.41993,0.20938,1.78159,1.88532,1.58852,0.001472,0.001472,0.001472
10,875.405,1.78755,1.93531,1.5422,0.55507,0.41445,0.43479,0.22117,1.76989,1.98526,1.59653,0.001406,0.001406,0.001406
11,962.991,1.71123,1.8768,1.49864,0.45131,0.41445,0.37912,0.19829,1.79622,1.91871,1.62582,0.00134,0.00134,0.00134
12,1049.82,1.71585,1.81057,1.50974,0.49831,0.42299,0.4228,0.21267,1.81012,1.81075,1.63659,0.001274,0.001274,0.001274
13,1135.18,1.72087,1.78253,1.49692,0.623,0.42205,0.47308,0.25523,1.69301,1.73156,1.59226,0.001208,0.001208,0.001208
14,1221.27,1.69203,1.75756,1.49586,0.57578,0.46008,0.47591,0.2509,1.67004,1.83398,1.54785,0.001142,0.001142,0.001142
15,1307.45,1.64953,1.74411,1.49318,0.67416,0.44841,0.51724,0.27466,1.69194,1.68304,1.56394,0.001076,0.001076,0.001076
16,1392.85,1.66394,1.76843,1.48415,0.58408,0.47529,0.50571,0.27146,1.61184,1.59637,1.50311,0.00101,0.00101,0.00101
17,1483.78,1.57258,1.74822,1.43259,0.50815,0.50675,0.50826,0.28385,1.59309,1.61187,1.50471,0.000944,0.000944,0.000944
18,1577.49,1.60461,1.63692,1.43515,0.63527,0.45697,0.52757,0.29476,1.64287,1.56165,1.5278,0.000878,0.000878,0.000878
19,1662.8,1.57296,1.61628,1.42441,0.63087,0.51331,0.52483,0.274,1.6505,1.61603,1.54856,0.000812,0.000812,0.000812
20,1747.49,1.58093,1.66754,1.42878,0.66635,0.45627,0.51909,0.28625,1.57263,1.60062,1.48231,0.000746,0.000746,0.000746
21,1833.67,1.55427,1.60802,1.42991,0.7286,0.44867,0.56603,0.31089,1.59544,1.54474,1.49363,0.00068,0.00068,0.00068
22,1917.99,1.48316,1.52603,1.36924,0.67267,0.48669,0.55974,0.30365,1.59173,1.55583,1.49856,0.000614,0.000614,0.000614
23,2003.09,1.47057,1.45811,1.36033,0.64006,0.52852,0.56519,0.31846,1.58868,1.46676,1.49629,0.000548,0.000548,0.000548
24,2090.7,1.47913,1.41656,1.35392,0.68504,0.5019,0.56918,0.3266,1.55279,1.44738,1.46302,0.000482,0.000482,0.000482
25,2175.33,1.44671,1.39001,1.34361,0.65648,0.50138,0.54938,0.30082,1.62462,1.5112,1.50388,0.000416,0.000416,0.000416
26,2260.62,1.43085,1.38856,1.3267,0.71206,0.51331,0.58477,0.32901,1.51894,1.44029,1.46504,0.00035,0.00035,0.00035
27,2346.23,1.40996,1.3552,1.32307,0.68269,0.53612,0.58712,0.33703,1.52033,1.42433,1.4733,0.000284,0.000284,0.000284
28,2431.03,1.39077,1.36898,1.31498,0.66679,0.52852,0.58574,0.3387,1.51277,1.44121,1.46798,0.000218,0.000218,0.000218
29,2515.85,1.35965,1.28365,1.28557,0.63478,0.55513,0.58971,0.34302,1.50813,1.39166,1.46157,0.000152,0.000152,0.000152
30,2625.46,1.38339,1.30051,1.3004,0.65851,0.55133,0.59408,0.34274,1.52829,1.39057,1.47525,8.6e-05,8.6e-05,8.6e-05
