epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6095,1.60795,3.07317,1.46775,0.005,0.7,0.10246,0.04926,1.60355,3.21069,1.35856,0.00038,0.00038,0.00038
2,53.2502,1.69365,2.34091,1.52348,0.0128,0.275,0.06939,0.0392,1.62057,3.08445,1.4203,0.00070278,0.00070278,0.00070278
3,99.755,1.69822,2.30196,1.57832,0.40322,0.05,0.09639,0.06822,2.02692,3.04632,1.80309,0.00094636,0.00094636,0.00094636
4,147.134,1.70308,2.23976,1.5597,0.25328,0.05,0.08459,0.05811,1.90108,2.97873,1.70298,0.00111074,0.00111074,0.00111074
5,184.324,1.61168,2.18381,1.57016,0.40376,0.15,0.16497,0.08837,1.72172,2.77905,1.60836,0.00119592,0.00119592,0.00119592
6,201.307,1.6,2.09725,1.51095,0.79443,0.225,0.31329,0.15736,1.95707,2.28112,1.70833,0.00101,0.00101,0.00101
7,217.183,1.59189,2.0524,1.48086,0.51508,0.3,0.35229,0.17545,1.92745,2.15651,1.68489,0.000812,0.000812,0.000812
8,232.574,1.52173,1.94163,1.39776,0.65739,0.325,0.39357,0.20919,1.90204,2.1002,1.6595,0.000614,0.000614,0.000614
9,261.663,1.49406,1.82484,1.39983,0.51413,0.375,0.39372,0.20553,1.88871,2.10306,1.6608,0.000416,0.000416,0.000416
10,301.484,1.46491,1.83816,1.35451,0.73669,0.325,0.42545,0.22982,1.84554,2.08684,1.65546,0.000218,0.000218,0.000218
