epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5038,1.10736,1.95217,1.37611,0.0056,1,0.995,0.53355,1.34834,2.49666,1.93201,0.00034,0.00034,0.00034
2,68.1368,0.913,0.91655,1.23804,1,0.99794,0.995,0.60965,1.2191,1.11871,1.36139,0.0006307,0.0006307,0.0006307
3,99.5787,1.04047,0.84465,1.25826,0.99665,1,0.995,0.62257,1.44421,1.18484,1.75896,0.00085012,0.00085012,0.00085012
4,128.289,0.90577,0.79182,1.15681,0.98297,1,0.995,0.74414,1.06089,1.1551,1.43561,0.00099826,0.00099826,0.00099826
5,156.058,0.86774,0.82808,1.16016,0.94362,0.94444,0.98452,0.69742,0.97222,1.14755,1.28711,0.00107512,0.00107512,0.00107512
6,185.972,0.82,0.7912,1.11003,0.99668,1,0.995,0.72334,0.9459,1.16663,1.20337,0.00101,0.00101,0.00101
7,213.18,0.76891,0.74105,1.11072,0.99567,1,0.995,0.73151,0.92941,1.09241,1.1679,0.000812,0.000812,0.000812
8,241.088,0.79068,0.73236,1.09122,0.9927,1,0.995,0.74889,0.9286,0.89686,1.15358,0.000614,0.000614,0.000614
9,268.373,0.69597,0.68265,1.09905,0.99317,1,0.995,0.75817,0.93412,0.78195,1.16897,0.000416,0.000416,0.000416
10,296.567,0.68466,0.67219,1.04641,0.99385,1,0.995,0.7663,0.93941,0.7676,1.16798,0.000218,0.000218,0.000218
